Precision@K,Recall@K,AUC,RankingLoss,Epoch
0.089,0.062,0.3251,0.4897,1
0.0912,0.0637,0.3281,0.493,2
0.0914,0.068,0.3289,0.4941,3
0.0883,0.0594,0.3245,0.4919,4
0.0899,0.0606,0.328,0.4939,5
0.0808,0.0544,0.3272,0.4942,6
0.0916,0.0652,0.3273,0.4874,7
0.0943,0.0647,0.3277,0.4927,8
0.0911,0.0651,0.3258,0.4884,9
0.0937,0.0644,0.3282,0.4943,10
0.0952,0.0664,0.3292,0.4916,11
0.0863,0.0576,0.3256,0.4847,12
0.0951,0.0679,0.3271,0.4861,13
0.0928,0.0647,0.3265,0.4967,14
0.0944,0.0733,0.3261,0.4972,15
0.095,0.0694,0.3253,0.4881,16
0.0923,0.0619,0.3259,0.4903,17
0.0916,0.0659,0.3286,0.4915,18
0.0945,0.068,0.3277,0.4896,19
0.0881,0.0617,0.3296,0.4879,20
0.0977,0.0723,0.3297,0.494,21
0.0873,0.0647,0.3287,0.4885,22
0.0933,0.069,0.3239,0.4882,23
0.0976,0.0779,0.3251,0.4874,24
0.0903,0.0607,0.3264,0.4887,25
0.0945,0.068,0.3284,0.4851,26
0.0935,0.0654,0.3281,0.4852,27
0.0862,0.0554,0.328,0.4932,28
0.0854,0.0598,0.3246,0.483,29
0.0927,0.0655,0.3247,0.4908,30
